	opt	fin	ocu	acc
1	adam	128	32	0.9969
2	adam	128	64	0.9895
3	adam	128	128	0.9937
4	adam	240	32	0.9921
5	adam	240	64	1
6	adam	240	128	0.5166
7	adam	380	32	0.9979
8	adam	380	64	0.5168
9	adam	380	128	0.5168
10	sgd	128	32	0.9763
11	sgd	128	64	0.9731
12	sgd	128	128	0.9652
13	sgd	240	32	0.9627
14	sgd	240	64	0.9499
15	sgd	240	128	0.9705
16	sgd	380	32	0.9783
17	sgd	380	64	0.9541
18	sgd	380	128	0.9704
19	adadelta	128	32	0.5165
20	adadelta	128	64	0.9942
21	adadelta	128	128	0.9958
22	adadelta	240	32	0.9932
23	adadelta	240	64	0.9963
24	adadelta	240	128	0.9958
25	adadelta	380	32	0.5164
26	adadelta	380	64	0.9984
27	adadelta	380	128	0.9915
				
				
				
				
				
