	opt	fin	ocu	acc
1	adam	a	1	0.9915
2	adam	a	2	0.9932
3	adam	a	1	0.9863
4	adam	a	2	0.9885
5	adam	a	1	0.9911
6	adam	a	2	0.9902
7	adam	b	1	0.9868
8	adam	b	2	0.9941
9	adam	b	1	0.9928
10	adam	b	2	0.9969
11	adam	b	1	0.9895
12	adam	b	2	0.9937
13	adam	c	1	0.9921
14	adam	c	2	1
15	adam	c	1	0.5166
16	adam	c	2	0.9979
17	adam	c	1	0.5168
18	adam	c	2	0.5168
19	sgd	a	1	0.9608
20	sgd	a	2	0.9761
21	sgd	a	1	0.9766
22	sgd	a	2	0.8945
23	sgd	a	1	0.9711
24	sgd	a	2	0.9628
25	sgd	b	1	0.9685
26	sgd	b	2	0.9659
27	sgd	b	1	0.9757
28	sgd	b	2	0.9763
29	sgd	b	1	0.9731
30	sgd	b	2	0.9652
31	sgd	c	1	0.9627
32	sgd	c	2	0.9499
33	sgd	c	1	0.9705
34	sgd	c	2	0.9783
35	sgd	c	1	0.9541
36	sgd	c	2	0.9704
37	adadelta	a	1	0.9945
38	adadelta	a	2	0.9936
39	adadelta	a	1	0.9911
40	adadelta	a	2	0.9881
41	adadelta	a	1	0.9957
42	adadelta	a	2	0.9911
43	adadelta	b	1	0.9975
44	adadelta	b	2	0.994
45	adadelta	b	1	0.9944
46	adadelta	b	2	0.5165
47	adadelta	b	1	0.9942
48	adadelta	b	2	0.9958
49	adadelta	c	1	0.9932
50	adadelta	c	2	0.9963
51	adadelta	c	1	0.9958
52	adadelta	c	2	0.5164
53	adadelta	c	1	0.9984
54	adadelta	c	2	0.9915
