id,opt,ocu,fin,tam,dev
1,Adam,32,128,1,0.9915
2,Adam,64,128,1,0.9932
3,Adam,128,128,1,0.9863
4,Adam,32,240,1,0.9885
5,Adam,64,240,1,0.9911
6,Adam,128,240,1,0.9902
7,Adam,32,380,1,0.9868
8,Adam,64,380,1,0.9941
9,Adam,128,380,1,0.9928
10,Adamax,32,128,1,0.9799
11,Adamax,64,128,1,0.558
12,Adamax,128,128,1,0.9856
13,Adamax,32,240,1,0.994
14,Adamax,64,240,1,0.9915
15,Adamax,128,240,1,0.5581
16,Adamax,32,380,1,0.989
17,Adamax,64,380,1,0.9957
18,Adamax,128,380,1,0.5583
19,Nadam,32,128,1,0.9898
20,Nadam,64,128,1,0.986
21,Nadam,128,128,1,0.9877
22,Nadam,32,240,1,0.9885
23,Nadam,64,240,1,0.9971
24,Nadam,128,240,1,0.9885
25,Nadam,32,380,1,0.991
26,Nadam,64,380,1,0.985
27,Nadam,128,380,1,0.4418
28,RMSProp,32,128,1,0.9864
29,RMSProp,64,128,1,0.969
30,RMSProp,128,128,1,0.9698
31,RMSProp,32,240,1,0.9648
32,RMSProp,64,240,1,0.9937
33,RMSProp,128,240,1,0.4422
34,RMSProp,32,380,1,0.9928
35,RMSProp,64,380,1,0.5581
36,RMSProp,128,380,1,0.9765
37,SGD,32,128,1,0.9608
38,SGD,64,128,1,0.9761
39,SGD,128,128,1,0.9766
40,SGD,32,240,1,0.8945
41,SGD,64,240,1,0.9711
42,SGD,128,240,1,0.9628
43,SGD,32,380,1,0.9685
44,SGD,64,380,1,0.9659
45,SGD,128,380,1,0.9757
46,Adadelta,32,128,1,0.9945
47,Adadelta,64,128,1,0.9936
48,Adadelta,128,128,1,0.9911
49,Adadelta,32,240,1,0.9881
50,Adadelta,64,240,1,0.9957
51,Adadelta,128,240,1,0.9911
52,Adadelta,32,380,1,0.9975
53,Adadelta,64,380,1,0.994
54,Adadelta,128,380,1,0.9944
55,Adam,32,128,2,0.9969
56,Adam,64,128,2,0.9895
57,Adam,128,128,2,0.9937
58,Adam,32,240,2,0.9921
59,Adam,64,240,2,1
60,Adam,128,240,2,0.5166
61,Adam,32,380,2,0.9979
62,Adam,64,380,2,0.5168
63,Adam,128,380,2,0.5168
64,Adamax,32,128,2,0.9937
65,Adamax,64,128,2,0.991
66,Adamax,128,128,2,0.9278
67,Adamax,32,240,2,0.5166
68,Adamax,64,240,2,0.9958
69,Adamax,128,240,2,0.4835
70,Adamax,32,380,2,0.4832
71,Adamax,64,380,2,0.5166
72,Adamax,128,380,2,0.4835
73,Nadam,32,128,2,0.4834
74,Nadam,64,128,2,0.5164
75,Nadam,128,128,2,0.5163
76,Nadam,32,240,2,0.5168
77,Nadam,64,240,2,0.4834
78,Nadam,128,240,2,0.4832
79,Nadam,32,380,2,0.5167
80,Nadam,64,380,2,0.5166
81,Nadam,128,380,2,0.5167
82,RMSProp,32,128,2,0.5168
83,RMSProp,64,128,2,0.98
84,RMSProp,128,128,2,0.5167
85,RMSProp,32,240,2,0.99
86,RMSProp,64,240,2,0.9704
87,RMSProp,128,240,2,0.4835
88,RMSProp,32,380,2,0.9937
89,RMSProp,64,380,2,0.5165
90,RMSProp,128,380,2,0.4834
91,SGD,32,128,2,0.9763
92,SGD,64,128,2,0.9731
93,SGD,128,128,2,0.9652
94,SGD,32,240,2,0.9627
95,SGD,64,240,2,0.9499
96,SGD,128,240,2,0.9705
97,SGD,32,380,2,0.9783
98,SGD,64,380,2,0.9541
99,SGD,128,380,2,0.9704
100,Adadelta,32,128,2,0.5165
101,Adadelta,64,128,2,0.9942
102,Adadelta,128,128,2,0.9958
103,Adadelta,32,240,2,0.9932
104,Adadelta,64,240,2,0.9963
105,Adadelta,128,240,2,0.9958
106,Adadelta,32,380,2,0.5164
107,Adadelta,64,380,2,0.9984
108,Adadelta,128,380,2,0.9915
