opt	ocu	fin	tam	dev
Adam	32	128	1	0.9915
Adam	64	128	1	0.9932
Adam	128	128	1	0.9863
Adam	32	240	1	0.9885
Adam	64	240	1	0.9911
Adam	128	240	1	0.9902
Adam	32	380	1	0.9868
Adam	64	380	1	0.9941
Adam	128	380	1	0.9928
Adamax	32	128	1	0.9799
Adamax	64	128	1	0.558
Adamax	128	128	1	0.9856
Adamax	32	240	1	0.994
Adamax	64	240	1	0.9915
Adamax	128	240	1	0.5581
Adamax	32	380	1	0.989
Adamax	64	380	1	0.9957
Adamax	128	380	1	0.5583
Nadam	32	128	1	0.9898
Nadam	64	128	1	0.986
Nadam	128	128	1	0.9877
Nadam	32	240	1	0.9885
Nadam	64	240	1	0.9971
Nadam	128	240	1	0.9885
Nadam	32	380	1	0.991
Nadam	64	380	1	0.985
Nadam	128	380	1	0.4418
RMSProp	32	128	1	0.9864
RMSProp	64	128	1	0.969
RMSProp	128	128	1	0.9698
RMSProp	32	240	1	0.9648
RMSProp	64	240	1	0.9937
RMSProp	128	240	1	0.4422
RMSProp	32	380	1	0.9928
RMSProp	64	380	1	0.5581
RMSProp	128	380	1	0.9765
SGD	32	128	1	0.9608
SGD	64	128	1	0.9761
SGD	128	128	1	0.9766
SGD	32	240	1	0.8945
SGD	64	240	1	0.9711
SGD	128	240	1	0.9628
SGD	32	380	1	0.9685
SGD	64	380	1	0.9659
SGD	128	380	1	0.9757
Adadelta	32	128	1	0.9945
Adadelta	64	128	1	0.9936
Adadelta	128	128	1	0.9911
Adadelta	32	240	1	0.9881
Adadelta	64	240	1	0.9957
Adadelta	128	240	1	0.9911
Adadelta	32	380	1	0.9975
Adadelta	64	380	1	0.994
Adadelta	128	380	1	0.9944
Adam	32	128	2	0.9969
Adam	64	128	2	0.9895
Adam	128	128	2	0.9937
Adam	32	240	2	0.9921
Adam	64	240	2	1
Adam	128	240	2	0.5166
Adam	32	380	2	0.9979
Adam	64	380	2	0.5168
Adam	128	380	2	0.5168
Adamax	32	128	2	0.9937
Adamax	64	128	2	0.991
Adamax	128	128	2	0.9278
Adamax	32	240	2	0.5166
Adamax	64	240	2	0.9958
Adamax	128	240	2	0.4835
Adamax	32	380	2	0.4832
Adamax	64	380	2	0.5166
Adamax	128	380	2	0.4835
Nadam	32	128	2	0.4834
Nadam	64	128	2	0.5164
Nadam	128	128	2	0.5163
Nadam	32	240	2	0.5168
Nadam	64	240	2	0.4834
Nadam	128	240	2	0.4832
Nadam	32	380	2	0.5167
Nadam	64	380	2	0.5166
Nadam	128	380	2	0.5167
RMSProp	32	128	2	0.5168
RMSProp	64	128	2	0.98
RMSProp	128	128	2	0.5167
RMSProp	32	240	2	0.99
RMSProp	64	240	2	0.9704
RMSProp	128	240	2	0.4835
RMSProp	32	380	2	0.9937
RMSProp	64	380	2	0.5165
RMSProp	128	380	2	0.4834
SGD	32	128	2	0.9763
SGD	64	128	2	0.9731
SGD	128	128	2	0.9652
SGD	32	240	2	0.9627
SGD	64	240	2	0.9499
SGD	128	240	2	0.9705
SGD	32	380	2	0.9783
SGD	64	380	2	0.9541
SGD	128	380	2	0.9704
Adadelta	32	128	2	0.5165
Adadelta	64	128	2	0.9942
Adadelta	128	128	2	0.9958
Adadelta	32	240	2	0.9932
Adadelta	64	240	2	0.9963
Adadelta	128	240	2	0.9958
Adadelta	32	380	2	0.5164
Adadelta	64	380	2	0.9984
Adadelta	128	380	2	0.9915
