id,opt,fin,tam,acc
1,adam,a,1,0.9915
2,adam,a,1,0.9932
3,adam,a,1,0.9863
4,adam,b,1,0.9885
5,adam,b,1,0.9911
6,adam,b,1,0.9902
7,adam,c,1,0.9868
8,adam,c,1,0.9941
9,adam,c,1,0.9928
10,adam,a,2,0.9969
11,adam,a,2,0.9895
12,adam,a,2,0.9937
13,adam,b,2,0.9921
14,adam,b,2,1
15,adam,b,2,0.5166
16,adam,c,2,0.9979
17,adam,c,2,0.5168
18,adam,c,2,0.5168
19,sgd,a,1,0.9608
20,sgd,a,1,0.9761
21,sgd,a,1,0.9766
22,sgd,b,1,0.8945
23,sgd,b,1,0.9711
24,sgd,b,1,0.9628
25,sgd,c,1,0.9685
26,sgd,c,1,0.9659
27,sgd,c,1,0.9757
28,sgd,a,2,0.9763
29,sgd,a,2,0.9731
30,sgd,a,2,0.9652
31,sgd,b,2,0.9627
32,sgd,b,2,0.9499
33,sgd,b,2,0.9705
34,sgd,c,2,0.9783
35,sgd,c,2,0.9541
36,sgd,c,2,0.9704
37,adadelta,a,1,0.9945
38,adadelta,a,1,0.9936
39,adadelta,a,1,0.9911
40,adadelta,b,1,0.9881
41,adadelta,b,1,0.9957
42,adadelta,b,1,0.9911
43,adadelta,c,1,0.9975
44,adadelta,c,1,0.994
45,adadelta,c,1,0.9944
46,adadelta,a,2,0.5165
47,adadelta,a,2,0.9942
48,adadelta,a,2,0.9958
49,adadelta,b,2,0.9932
50,adadelta,b,2,0.9963
51,adadelta,b,2,0.9958
52,adadelta,c,2,0.5164
53,adadelta,c,2,0.9984
54,adadelta,c,2,0.9915
55,Adamax,a,1,0.9799
56,Adamax,a,1,0.558
57,Adamax,a,1,0.9856
58,Adamax,b,1,0.994
59,Adamax,b,1,0.9915
60,Adamax,b,1,0.5581
61,Adamax,c,1,0.989
62,Adamax,c,1,0.9957
63,Adamax,c,1,0.5583
64,Adamax,a,2,0.9937
65,Adamax,a,2,0.991
66,Adamax,a,2,0.9278
67,Adamax,b,2,0.5166
68,Adamax,b,2,0.9958
69,Adamax,b,2,0.4835
70,Adamax,c,2,0.4832
71,Adamax,c,2,0.5166
72,Adamax,c,2,0.4835
73,nadam,a,1,0.9898
74,nadam,a,1,0.986
75,nadam,a,1,0.9877
76,nadam,b,1,0.9885
77,nadam,b,1,0.9971
78,nadam,b,1,0.9885
79,nadam,c,1,0.991
80,nadam,c,1,0.985
81,nadam,c,1,0.4418
82,nadam,a,2,0.4834
83,nadam,a,2,0.5164
84,nadam,a,2,0.5163
85,nadam,b,2,0.5168
86,nadam,b,2,0.4834
87,nadam,b,2,0.4832
88,nadam,c,2,0.5167
89,nadam,c,2,0.5166
90,nadam,c,2,0.5167
91,rmsprop,a,1,0.9864
92,rmsprop,a,1,0.969
93,rmsprop,a,1,0.9698
94,rmsprop,b,1,0.9648
95,rmsprop,b,1,0.9937
96,rmsprop,b,1,0.4422
97,rmsprop,c,1,0.9928
98,rmsprop,c,1,0.5581
99,rmsprop,c,1,0.9765
100,rmsprop,a,2,0.5168
101,rmsprop,a,2,0.98
102,rmsprop,a,2,0.5167
103,rmsprop,b,2,0.99
104,rmsprop,b,2,0.9704
105,rmsprop,b,2,0.4835
106,rmsprop,c,2,0.9937
107,rmsprop,c,2,0.5165
108,rmsprop,c,2,0.4834
