	opt	fin	ocu	acc
1	adam	128	32	0.9915
2	adam	128	64	0.9932
3	adam	128	128	0.9863
4	adam	240	32	0.9885
5	adam	240	64	0.9911
6	adam	240	128	0.9902
7	adam	380	32	0.9868
8	adam	380	64	0.9941
9	adam	380	128	0.9928
10	sgd	128	32	0.9608
11	sgd	128	64	0.9761
12	sgd	128	128	0.9766
13	sgd	240	32	0.8945
14	sgd	240	64	0.9711
15	sgd	240	128	0.9628
16	sgd	380	32	0.9685
17	sgd	380	64	0.9659
18	sgd	380	128	0.9757
19	adadelta	128	32	0.9945
20	adadelta	128	64	0.9936
21	adadelta	128	128	0.9911
22	adadelta	240	32	0.9881
23	adadelta	240	64	0.9957
24	adadelta	240	128	0.9911
25	adadelta	380	32	0.9975
26	adadelta	380	64	0.994
27	adadelta	380	128	0.9944




