	opt	fin	ocu	acc
1	Adamax	128	32	0.9799
2	Adamax	128	64	0.558
3	Adamax	128	128	0.9856
4	Adamax	240	32	0.994
5	Adamax	240	64	0.9915
6	Adamax	240	128	0.5581
7	Adamax	380	32	0.989
8	Adamax	380	64	0.9957
9	Adamax	380	128	0.5583
10	Nadam	128	32	0.9898
11	Nadam	128	64	0.986
12	Nadam	128	128	0.9877
13	Nadam	240	32	0.9885
14	Nadam	240	64	0.9971
15	Nadam	240	128	0.9885
16	Nadam	380	32	0.991
17	Nadam	380	64	0.985
18	Nadam	380	128	0.4418
19	Rmsprop	128	32	0.9864
20	Rmsprop	128	64	0.969
21	Rmsprop	128	128	0.9698
22	Rmsprop	240	32	0.9648
23	Rmsprop	240	64	0.9937
24	Rmsprop	240	128	0.4422
25	Rmsprop	380	32	0.9928
26	Rmsprop	380	64	0.5581
27	Rmsprop	380	128	0.9765
